id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,gender,color,size,age_group,material,pattern,shipping,shipping_weight,address.city,address.country,address.neighborhoods,address.postal_code,address.region,address.street_address,availability_circle_origin.latitude,availability_circle_origin.longitude,availability_circle_radius_unit,availability_circle_radius,product_tags[0],product_tags[1]
ONGRID-1KW-001,1KW On-Grid Solar System,"Complete 1kW on-grid solar power system with high-efficiency panels, 1kW inverter, mounting structure, and 25-year performance warranty. Generates approximately 4 units daily. Save ₹1,500 monthly on electricity bills in Indore. Premium tier pricing with maximum government subsidy benefits included. Price includes installation, service, and government subsidy support. Serving Indore and surrounding areas.",in stock,new,97900.00 INR,https://type3solar.in/products/ea454126-a449-46fb-8892-1da74ec486f4-on-grid-solar-system?variant=e92bf6f9-9831-4078-be7e-066789f25656,https://dtuoyawpebjcmfesgwwn.supabase.co/storage/v1/object/public/productphotos/Off-grid%20solar%20system/1kW%20off-grid%20solar%20system.png,Type3Solar,4714,Energy & Utilities > Solar Energy,50,75900.00 INR,2025-12-31T23:59+05:30/2026-12-31T23:59+05:30,unisex,Black,1kW,adult,Monocrystalline Silicon,Solid,IN::Free Installation:0.00 INR,25 kg,Indore,India,Indore,452001,Madhya Pradesh,Type3Solar Office Indore,22.7196,75.8577,km,25,EMI Available,Solar System
ONGRID-2KW-001,2KW On-Grid Solar System,"Complete 2kW on-grid solar power system with high-efficiency panels, 2kW inverter, mounting structure, and 25-year performance warranty. Generates approximately 8 units daily. Save ₹3,000 monthly on electricity bills in Indore. Premium tier pricing with maximum government subsidy benefits included. Price includes installation, service, and government subsidy support. Serving Indore and surrounding areas.",in stock,new,152900.00 INR,https://type3solar.in/products/ea454126-a449-46fb-8892-1da74ec486f4-on-grid-solar-system?variant=d767747f-e205-494d-8e84-d55e7c775fb8,https://dtuoyawpebjcmfesgwwn.supabase.co/storage/v1/object/public/productphotos/Off-grid%20solar%20system/2kW%20off-grid%20solar%20system.png,Type3Solar,4714,Energy & Utilities > Solar Energy,30,108900.00 INR,2025-12-31T23:59+05:30/2026-12-31T23:59+05:30,unisex,Black,2kW,adult,Monocrystalline Silicon,Solid,IN::Free Installation:0.00 INR,45 kg,Indore,India,Indore,452001,Madhya Pradesh,Type3Solar Office Indore,22.7196,75.8577,km,25,EMI Available,Solar System
ONGRID-3KW-001,3KW On-Grid Solar System,"Complete 3kW on-grid solar power system with high-efficiency panels, 3kW inverter, mounting structure, and 25-year performance warranty. Generates approximately 12 units daily. Save ₹4,500 monthly on electricity bills in Indore. Premium tier pricing with maximum government subsidy benefits included. Price includes installation, service, and government subsidy support. Serving Indore and surrounding areas.",in stock,new,225500.00 INR,https://type3solar.in/products/ea454126-a449-46fb-8892-1da74ec486f4-on-grid-solar-system?variant=53ebb159-8c38-43eb-8b7e-8af833d5b42c,https://dtuoyawpebjcmfesgwwn.supabase.co/storage/v1/object/public/productphotos/Off-grid%20solar%20system/3kW%20off-grid%20solar%20system.png,Type3Solar,4714,Energy & Utilities > Solar Energy,25,139700.00 INR,2025-12-31T23:59+05:30/2026-12-31T23:59+05:30,unisex,Black,3kW,adult,Monocrystalline Silicon,Solid,IN::Free Installation:0.00 INR,70 kg,Indore,India,Indore,452001,Madhya Pradesh,Type3Solar Office Indore,22.7196,75.8577,km,25,EMI Available,Solar System
ONGRID-5KW-001,5KW On-Grid Solar System,"Complete 5kW on-grid solar power system with high-efficiency panels, 5kW inverter, mounting structure, and 25-year performance warranty. Generates approximately 20 units daily. Save ₹7,500 monthly on electricity bills in Indore. Premium tier pricing with maximum government subsidy benefits included. Price includes installation, service, and government subsidy support. Serving Indore and surrounding areas.",in stock,new,357500.00 INR,https://type3solar.in/products/ea454126-a449-46fb-8892-1da74ec486f4-on-grid-solar-system?variant=0d11b3a6-077c-4850-b1e7-6de76741b212,https://dtuoyawpebjcmfesgwwn.supabase.co/storage/v1/object/public/productphotos/Off-grid%20solar%20system/5kW%20off-grid%20solar%20system.png,Type3Solar,4714,Energy & Utilities > Solar Energy,20,247500.00 INR,2025-12-31T23:59+05:30/2026-12-31T23:59+05:30,unisex,Black,5kW,adult,Monocrystalline Silicon,Solid,IN::Free Installation:0.00 INR,120 kg,Indore,India,Indore,452001,Madhya Pradesh,Type3Solar Office Indore,22.7196,75.8577,km,25,EMI Available,Solar System
ONGRID-10KW-001,10KW On-Grid Solar System,"Complete 10kW on-grid solar power system with high-efficiency panels, 10kW inverter, mounting structure, and 25-year performance warranty. Generates approximately 40 units daily. Save ₹15,000 monthly on electricity bills in Indore. Premium tier pricing with maximum government subsidy benefits included. Price includes installation, service, and government subsidy support. Ideal for large homes and small commercial establishments in Indore.",in stock,new,715000.00 INR,https://type3solar.in/products/ea454126-a449-46fb-8892-1da74ec486f4-on-grid-solar-system?variant=d8a32da3-9bd7-45cb-8c5b-e9f1a0af35e1,https://dtuoyawpebjcmfesgwwn.supabase.co/storage/v1/object/public/productphotos/On-Grid%20Solar%20Systems/10kW%20On-Grid%20Solar%20System.png,Type3Solar,4714,Energy & Utilities > Solar Energy,15,519200.00 INR,2025-12-31T23:59+05:30/2026-12-31T23:59+05:30,unisex,Black,10kW,adult,Monocrystalline Silicon,Solid,IN::Free Installation:0.00 INR,240 kg,Indore,India,Indore,452001,Madhya Pradesh,Type3Solar Office Indore,22.7196,75.8577,km,25,EMI Available,Commercial Solar
ONGRID-20KW-001,20KW On-Grid Solar System,"Complete 20kW on-grid solar power system with high-efficiency panels, 20kW inverter, mounting structure, and 25-year performance warranty. Generates approximately 80 units daily. Save ₹30,000 monthly on electricity bills in Indore. Premium tier pricing with maximum government subsidy benefits included. Price includes installation, service, and government subsidy support. Perfect for commercial and industrial applications in Indore.",in stock,new,1419000.00 INR,https://type3solar.in/products/ea454126-a449-46fb-8892-1da74ec486f4-on-grid-solar-system?variant=1fdf29de-ce71-4fe5-b274-4d83e90fce22,https://dtuoyawpebjcmfesgwwn.supabase.co/storage/v1/object/public/productphotos/On-Grid%20Solar%20Systems/20kW%20On-Grid%20Solar%20System.png,Type3Solar,4714,Energy & Utilities > Solar Energy,10,1034000.00 INR,2025-12-31T23:59+05:30/2026-12-31T23:59+05:30,unisex,Black,20kW,adult,Monocrystalline Silicon,Solid,IN::Free Installation:0.00 INR,480 kg,Indore,India,Indore,452001,Madhya Pradesh,Type3Solar Office Indore,22.7196,75.8577,km,25,EMI Available,Commercial Solar
OFFGRID-1KW-001,1KW Off-Grid Solar System,"Complete 1kW off-grid solar power system with high-efficiency panels, 1kW inverter, battery storage, and mounting structure. Generates approximately 4 units daily with backup power capability. Perfect for remote locations around Indore and backup power needs. 25-year panel warranty and 5-year inverter warranty. Price includes installation, service, and government subsidy support. Eco-friendly solution for residential power needs in Indore.",in stock,new,64790.00 INR,https://type3solar.in/products/24ebe2ae-e6b3-4da8-b941-f2b774aa8477-off-grid-solar-system?variant=766a5691-1fde-42f1-9282-e32b6267c417,https://dtuoyawpebjcmfesgwwn.supabase.co/storage/v1/object/public/productphotos/Off-grid%20solar%20system/1kW%20off-grid%20solar%20system.png,Type3Solar,4714,Energy & Utilities > Solar Energy,40,53790.00 INR,2025-12-31T23:59+05:30/2026-12-31T23:59+05:30,unisex,Black,1kW,adult,Monocrystalline Silicon,Solid,IN::Free Installation:0.00 INR,35 kg,Indore,India,Indore,452001,Madhya Pradesh,Type3Solar Office Indore,22.7196,75.8577,km,25,EMI Available,Off-Grid Solar
OFFGRID-2KW-001,2KW Off-Grid Solar System,"Complete 2kW off-grid solar power system with high-efficiency panels, 2kW inverter, battery storage, and mounting structure. Generates approximately 8 units daily with backup power capability. Perfect for remote locations around Indore and backup power needs. 25-year panel warranty and 5-year inverter warranty. Price includes installation, service, and government subsidy support in Indore area.",in stock,new,108900.00 INR,https://type3solar.in/products/24ebe2ae-e6b3-4da8-b941-f2b774aa8477-off-grid-solar-system?variant=b5bc478a-f8b1-46b7-9bfb-4b4dd6ae6be5,https://dtuoyawpebjcmfesgwwn.supabase.co/storage/v1/object/public/productphotos/Off-grid%20solar%20system/2kW%20off-grid%20solar%20system.png,Type3Solar,4714,Energy & Utilities > Solar Energy,35,97900.00 INR,2025-12-31T23:59+05:30/2026-12-31T23:59+05:30,unisex,Black,2kW,adult,Monocrystalline Silicon,Solid,IN::Free Installation:0.00 INR,65 kg,Indore,India,Indore,452001,Madhya Pradesh,Type3Solar Office Indore,22.7196,75.8577,km,25,EMI Available,Off-Grid Solar
OFFGRID-3KW-001,3KW Off-Grid Solar System,"Complete 3kW off-grid solar power system with high-efficiency panels, 3kW inverter, battery storage, and mounting structure. Generates approximately 12 units daily with backup power capability. Perfect for remote locations around Indore and backup power needs. 25-year panel warranty and 5-year inverter warranty. Price includes installation, service, and government subsidy support in Indore area.",in stock,new,150700.00 INR,https://type3solar.in/products/24ebe2ae-e6b3-4da8-b941-f2b774aa8477-off-grid-solar-system?variant=a1ef0e3b-a6b5-49fc-ae6a-374370892419,https://dtuoyawpebjcmfesgwwn.supabase.co/storage/v1/object/public/productphotos/Off-grid%20solar%20system/3kW%20off-grid%20solar%20system.png,Type3Solar,4714,Energy & Utilities > Solar Energy,30,134200.00 INR,2025-12-31T23:59+05:30/2026-12-31T23:59+05:30,unisex,Black,3kW,adult,Monocrystalline Silicon,Solid,IN::Free Installation:0.00 INR,95 kg,Indore,India,Indore,452001,Madhya Pradesh,Type3Solar Office Indore,22.7196,75.8577,km,25,EMI Available,Off-Grid Solar
OFFGRID-5KW-001,5KW Off-Grid Solar System,"Complete 5kW off-grid solar power system with high-efficiency panels, 5kW inverter, battery storage, and mounting structure. Generates approximately 20 units daily with backup power capability. Perfect for large homes and commercial backup power needs in Indore. 25-year panel warranty and 5-year inverter warranty. Price includes installation, service, and government subsidy support in Indore area.",in stock,new,247500.00 INR,https://type3solar.in/products/24ebe2ae-e6b3-4da8-b941-f2b774aa8477-off-grid-solar-system?variant=6e4fc4d8-7376-413f-8ec0-80e14cae0215,https://dtuoyawpebjcmfesgwwn.supabase.co/storage/v1/object/public/productphotos/Off-grid%20solar%20system/5kW%20off-grid%20solar%20system.png,Type3Solar,4714,Energy & Utilities > Solar Energy,20,217800.00 INR,2025-12-31T23:59+05:30/2026-12-31T23:59+05:30,unisex,Black,5kW,adult,Monocrystalline Silicon,Solid,IN::Free Installation:0.00 INR,155 kg,Indore,India,Indore,452001,Madhya Pradesh,Type3Solar Office Indore,22.7196,75.8577,km,25,EMI Available,Off-Grid Solar
